"nomor_laporan_produksi_lab";"nomor_laporan_produksi";"jam_waktu";"mesin";"rpm";"mesh";"std_ssa";"ssa";"std_d50";"d50";"std_d98";"d98";"cie86";"iso2470";"moisture";"residue"
"LHPL2012-000235";"LHP2012-0031";"12:00:00";"8";"365";"500";"7000";"6681";"7";"5.63";"60";"38.73";"70.4";"87.1";"0.237";"0.01"
"LHPL2012-000236";"LHP2012-0032";"13:00:00";"1";"390";"1200";"11500";"12117";"1.7";"1.36";"30";"17.27";"80.3";"91.8";"0.23";"0.02"
"LHPL2012-000237";"LHP2012-0032";"13:00:00";"2";"480";"6000";"14000";"10422";"1.2";"1.81";"21";"19.97";"76.1";"89.6";"0.275";"0.01"
"LHPL2012-000238";"LHP2012-0032";"13:00:00";"3";"420";"800";"8000";"11497";"2.5";"1.94";"40";"22.27";"79.2";"90.5";"0.235";"0.02"
"LHPL2012-000239";"LHP2012-0032";"13:00:00";"4";"470";"800";"8000";"7060";"2.5";"6.1";"40";"45.98";"73.2";"88.6";"0.149";"0.01"
"LHPL2012-000240";"LHP2012-0032";"13:00:00";"5";"355";"800";"8000";"7486";"2.5";"5.66";"40";"46.11";"76.3";"89.6";"0.193";"0.01"
"LHPL2012-000241";"LHP2012-0032";"13:00:00";"6";"355";"500";"7000";"7763";"7";"5.13";"60";"34.78";"75.6";"89.6";"0.162";"0.01"
"LHPL2012-000242";"LHP2012-0032";"13:00:00";"7";"355";"500";"7000";"7113";"7";"4.63";"60";"36.33";"76.5";"89.7";"0.212";"0.01"
"LHPL2012-000243";"LHP2012-0032";"13:00:00";"8";"365";"500";"7000";"6681";"7";"5.63";"60";"38.73";"76.8";"88.2";"0.259";"0.01"
"LHPL2012-000244";"LHP2012-0033";"08:00:00";"1";"390";"1200";"11500";"13259";"1.7";"1.28";"30";"17.81";"85";"91.9";"0.202";"0.02"
"LHPL2012-000245";"LHP2012-0033";"08:00:00";"2";"480";"2000";"13500";"10386";"1.4";"1.5";"23";"20.48";"80.3";"90.7";"0.251";"0.01"
"LHPL2012-000246";"LHP2012-0033";"08:00:00";"3";"420";"800";"8000";"11742";"2.5";"1.68";"40";"19.19";"84.8";"92.3";"0.212";"0.03"
"LHPL2012-000247";"LHP2012-0033";"08:00:00";"4";"470";"800";"8000";"7165";"2.5";"5.69";"40";"40";"79.3";"89";"0.18";"0.05"
"LHPL2012-000248";"LHP2012-0033";"08:00:00";"5";"355";"800";"8000";"7503";"2.5";"6.78";"40";"46.64";"80.7";"89.8";"0.185";"0.02"
"LHPL2012-000249";"LHP2012-0033";"08:00:00";"6";"355";"500";"7000";"7952";"7";"4.26";"60";"30.12";"79";"87.4";"0.228";"0.04"
"LHPL2012-000250";"LHP2012-0033";"08:00:00";"7";"355";"500";"7000";"7319";"7";"5.51";"60";"31.26";"77.1";"88.6";"0.183";"0.01"
"LHPL2012-000251";"LHP2012-0033";"08:00:00";"8";"365";"500";"7000";"7199";"7";"5.37";"60";"37.05";"74.8";"86.9";"0.269";"0.01"
"LHPL2012-000252";"LHP2012-0034";"10:00:00";"1";"390";"1200";"11500";"13259";"1.7";"1.28";"30";"17.81";"85.9";"93.5";"0.196";"0.01"
"LHPL2012-000253";"LHP2012-0034";"10:00:00";"2";"480";"2000";"13500";"10386";"1.4";"1.5";"23";"20.48";"81.2";"90.9";"0.198";"0.01"
"LHPL2012-000254";"LHP2012-0034";"10:00:00";"3";"420";"800";"8000";"11742";"2.5";"1.68";"40";"19.19";"80.7";"92.9";"0.196";"0.02"
"LHPL2012-000255";"LHP2012-0034";"10:00:00";"4";"470";"800";"8000";"7165";"2.5";"5.69";"40";"40";"79.5";"90.3";"0.13";"0.01"
"LHPL2012-000256";"LHP2012-0034";"10:00:00";"5";"355";"800";"8000";"7503";"2.5";"6.78";"40";"46.64";"81.2";"90.8";"0.156";"0.01"
"LHPL2012-000257";"LHP2012-0034";"10:00:00";"6";"355";"500";"7000";"7952";"7";"4.26";"60";"30.12";"74.7";"87.6";"0.17";"0.01"
"LHPL2012-000258";"LHP2012-0034";"10:00:00";"7";"355";"500";"7000";"7319";"7";"5.51";"60";"31.26";"76.1";"89.2";"0.188";"0.01"
"LHPL2012-000259";"LHP2012-0034";"10:00:00";"8";"365";"500";"7000";"7199";"7";"5.37";"60";"37.05";"73.9";"87.4";"0.27";"0.02"
"LHPL2012-000266";"LHP2012-0035";"08:00:00";"7";"355";"800";"8000";"7007";"2.5";"5.33";"40";"34.3";"76.6";"87.8";"0.152";"0.01"
"LHPL2012-000268";"LHP2012-0036";"13:00:00";"1";"390";"800";"8000";"12003";"2.5";"1.25";"40";"17.48";"83.3";"92.9";"0.131";"0.03"
"LHPL2012-000269";"LHP2012-0036";"13:00:00";"2";"480";"2000";"13500";"10505";"1.4";"1.45";"23";"19.61";"77.5";"89";"0.176";"0.01"
"LHPL2012-000270";"LHP2012-0036";"13:00:00";"3";"420";"800";"8000";"10727";"2.5";"2.21";"40";"21.6";"79.5";"90.7";"0.17";"0.06"
"LHPL2012-000271";"LHP2012-0036";"13:00:00";"4";"470";"800";"8000";"7952";"2.5";"4.63";"40";"46.98";"77.5";"89";"0.417";"0.01"
"LHPL2012-000272";"LHP2012-0036";"13:00:00";"5";"355";"800";"8000";"7747";"2.5";"6.08";"40";"46.76";"82.7";"90.7";"0.177";"0.02"
"LHPL2012-000273";"LHP2012-0036";"13:00:00";"6";"365";"500";"7000";"7937";"7";"4.65";"60";"34.08";"80.6";"86.5";"0.169";"0"
"LHPL2012-000274";"LHP2012-0036";"13:00:00";"7";"250";"250";"2500";"7095";"9";"4.95";"125";"43.33";"79.4";"89.7";"0.194";"2.64"
"LHPL2012-000275";"LHP2012-0036";"13:00:00";"8";"365";"500";"7000";"6737";"7";"5.44";"60";"40.5";"76.4";"87.7";"0.248";"0.01"
"LHPL2012-000276";"LHP2012-0037";"08:00:00";"1";"390";"800";"8000";"12470";"2.5";"1.72";"40";"16.56";"82.4";"91.7";"0.235";"0.01"
"LHPL2012-000277";"LHP2012-0037";"08:00:00";"2";"480";"6000";"14000";"10750";"1.2";"1.83";"21";"21.14";"81.3";"90.4";"0.288";"0.01"
"LHPL2012-000278";"LHP2012-0037";"08:00:00";"3";"420";"800";"8000";"10922";"2.5";"2.34";"40";"24.31";"84.2";"91.5";"0.233";"0.04"
"LHPL2012-000279";"LHP2012-0037";"08:00:00";"4";"470";"800";"8000";"8091";"2.5";"5.93";"40";"43.11";"76.5";"88.9";"0.197";"0.01"
"LHPL2012-000280";"LHP2012-0037";"08:00:00";"5";"355";"800";"8000";"7552";"2.5";"5.68";"40";"50.31";"79.3";"90.8";"0.156";"0.03"
"LHPL2012-000281";"LHP2012-0037";"08:00:00";"6";"355";"500";"7000";"7585";"7";"4.91";"60";"35.67";"75";"88.4";"0.171";"0.01"
"LHPL2012-000282";"LHP2012-0037";"08:00:00";"7";"355";"500";"7000";"8198";"7";"3.79";"60";"33.46";"76";"88.9";"0.111";"0.01"
"LHPL2012-000283";"LHP2012-0037";"08:00:00";"8";"365";"500";"7000";"7043";"7";"5.06";"60";"45.26";"74.5";"87.3";"0.384";"0.02"
"LHPL2012-000284";"LHP2012-0035";"08:00:00";"1";"390";"800";"8000";"12003";"2.5";"1.25";"40";"17.48";"83";"92.8";"0.219";"0.01"
"LHPL2012-000285";"LHP2012-0035";"08:00:00";"2";"480";"2000";"13500";"10505";"1.4";"1.45";"23";"19.61";"79.2";"88.7";"0.171";"0.02"
"LHPL2012-000286";"LHP2012-0035";"08:00:00";"3";"420";"1200";"11500";"11268";"1.7";"1.54";"30";"20.78";"79.2";"91.6";"0.141";"0.03"
"LHPL2012-000287";"LHP2012-0035";"08:00:00";"4";"470";"800";"8000";"7952";"2.5";"4.63";"40";"46.98";"73.4";"88.7";"0.199";"0.03"
"LHPL2012-000288";"LHP2012-0035";"08:00:00";"5";"355";"800";"8000";"7747";"2.5";"6.08";"40";"46.76";"75.8";"89.5";"0.109";"0.01"
"LHPL2012-000289";"LHP2012-0035";"08:00:00";"6";"355";"500";"7000";"7937";"7";"4.65";"60";"34.07";"70.9";"86.5";"0.172";"0.01"
"LHPL2012-000290";"LHP2012-0035";"08:00:00";"8";"365";"800";"8000";"6662";"2.5";"4.6";"40";"35.31";"76";"87.9";"0.372";"0.01"
